ARTH*345,Italian Art of the High Renaissance,Art History (ARTH),Units: 3.00
ARTH*346,Sculpture, Gender, and the Body in the Italian Renaissance,Art History (ARTH),Units: 3.00
ARTH*347,Mannerism,Art History (ARTH),Units: 3.00
ARTH*348,Arts of the Artic,Art History (ARTH),Units: 3.00
ARTH*350,Propaganda and Visual Culture: From the Altar to the Xbox,Art History (ARTH),Units: 3.00
ARTH*352,Printmaking in Early Modern Europe,Art History (ARTH),Units: 3.00
ARTH*353,Flemish Baroque Art,Art History (ARTH),Units: 3.00
ARTH*354,Age of Rembrandt,Art History (ARTH),Units: 3.00
ARTH*369,Architecture of the Renaissance Period,Art History (ARTH),Units: 3.00
ARTH*370,Architecture of the Broque Period,Art History (ARTH),Units: 3.00
ARTH*372,Art of Colonial Latin America,Art History (ARTH),Units: 3.00
ARTH*373,15th Century Netherlandish Painting,Art History (ARTH),Units: 3.00
ARTH*374,16th-Century Netherlandish Painting,Art History (ARTH),Units: 3.00
ARTH*378,Global Textiles,Art History (ARTH),Units: 3.00
ARTH*380,Venice and its Biennale: Global Circuits of Contemporary Art,Art History (ARTH),Units: 6.00
ARTH*383,The City,Art History (ARTH),Units: 3.00
ARTH*390,Writing Art History Today,Art History (ARTH),Units: 3.00
ARTH*391,Art Forgeries,Art History (ARTH),Units: 3.00
ARTH*395,Internship,Art History (ARTH),Units: 3.00
ARTH*401,Studies in Iconography,Art History (ARTH),Units: 3.00
ARTH*402,Studies in Renaissance Painting Technique,Art History (ARTH),Units: 3.00
ARTH*403,Hacking the Museum,Art History (ARTH),Units: 3.00
ARTH*404,Studies in Conservation,Art History (ARTH),Units: 3.00
ARTH*405,Cultural Heritage Preservation,Art History (ARTH),Units: 3.00
ARTH*410,Studies in the History of Textiles and Dress,Art History (ARTH),Units: 3.00
ARTH*412,Topics in Design History, Craft, and Material Culture,Art History (ARTH),Units: 3.00
ARTH*415,Topics in Medieval Art History,Art History (ARTH),Units: 3.00
ARTH*419,Studies in Experimental and New Media Art,Art History (ARTH),Units: 3.00
ARTH*420,Art and Activism,Art History (ARTH),Units: 3.00
ARTH*421,Topics in Modern Art,Art History (ARTH),Units: 3.00
ARTH*422,Topics in Contemporary Art,Art History (ARTH),Units: 3.00
ARTH*425,House: Studies in the History of an Idea,Art History (ARTH),Units: 3.00
ARTH*429,Topics in 19th-century Art,Art History (ARTH),Units: 3.00
ARTH*433,Art, Tourism & Modernity,Art History (ARTH),Units: 3.00
ARTH*434,Non-Western Art in Western Collections,Art History (ARTH),Units: 3.00
ARTH*435,The 'New Art History':Critical and Cultural Theory,Art History (ARTH),Units: 3.00
ARTH*436,Anthropological Theory and Art History,Art History (ARTH),Units: 3.00
ARTH*438,Studies in Indigenous Arts and Visual Culture of North America,Art History (ARTH),Units: 3.00
ARTH*442,Critical Writing on Photography: Meaning and Practice,Art History (ARTH),Units: 3.00
ARTH*446,Topics in Northern Renaissance and Baroque Art,Art History (ARTH),Units: 3.00
ARTH*451,Caravaggio and Artemisia,Art History (ARTH),Units: 3.00
ARTH*460,Curatorial Studies,Art History (ARTH),Units: 3.00
ARTH*472,Art and Global Encounter in Asia, the Americas and Africa, 1492-1850,Art History (ARTH),Units: 3.00
ARTH*482,Gothic Sculpture,Art History (ARTH),Units: 3.00
ARTH*485,A Social and Material History of Italian Renaissance Sculpture,Art History (ARTH),Units: 3.00
ARTH*486,16th-Century Painting in Venice,Art History (ARTH),Units: 3.00
ARTH*490,Topics in Word and Image,Art History (ARTH),Units: 3.00
ARTH*492,Studies in the Literature of Art,Art History (ARTH),Units: 3.00
ARTH*494,Topics in Baroque Art,Art History (ARTH),Units: 3.00
ARTH*496,Studies in the History of Prints and Drawings,Art History (ARTH),Units: 3.00
ARTH*594,Independent Study,Art History (ARTH),Units: 3.00
ARTH*595,Independent Study,Art History (ARTH),Units: 6.00
ARTH*596,Independent Study,Art History (ARTH),Units: 12.00
ARTH*597,Independent Study,Art History (ARTH),Units: 18.00
ASCX*100,Learning and Working in a Digital World,Arts and Science: Interdisciplinary (ASCX),Units: 3.00
ASCX*150,Learning and Working in a Digital World,Arts and Science: Interdisciplinary (ASCX),Units: 3.00
ASCX*200,Dean's Changemaker Challenge: Collaborative Problem Solving,Arts and Science: Interdisciplinary (ASCX),Units: 3.00
ASCX*300,Dean's Changemaker Challenge: Implementation Strategies,Arts and Science: Interdisciplinary (ASCX),Units: 3.00
ASCX*400,Interdisciplinary Client-based Project,Arts and Science: Interdisciplinary (ASCX),Units: 3.00
ASTR*101,Astronomy I: Solar System,Astronomy (ASTR),Units: 3.00
ASTR*102,Astronomy II: Stars, Galaxies, and the Universe,Astronomy (ASTR),Units: 3.00
BCHM*102,Introduction to Biochemistry,Biochemistry (BCHM),Units: 3.00
BCHM*218,Molecular Biology,Biochemistry (BCHM),Units: 3.00
BCHM*270,Biochemical Basis of Health and Disease,Biochemistry (BCHM),Units: 3.00
BCHM*310,General Biochemistry,Biochemistry (BCHM),Units: 9.00
BCHM*313,Physical Biochemistry,Biochemistry (BCHM),Units: 3.00
BCHM*315,Proteins and Enzymes,Biochemistry (BCHM),Units: 3.00
BCHM*316,Metabolism,Biochemistry (BCHM),Units: 3.00
BCHM*317,Introductory Biochemistry Laboratory,Biochemistry (BCHM),Units: 6.00
BCHM*319,Introductory Biochemistry Laboratory,Biochemistry (BCHM),Units: 3.00
BCHM*370,Genetics and Genomics,Biochemistry (BCHM),Units: 3.00
BCHM*410,Protein Structure and Function,Biochemistry (BCHM),Units: 3.00
BCHM*411,Advanced Molecular Biology,Biochemistry (BCHM),Units: 3.00
BCHM*421,Advanced Biochemistry Laboratory I,Biochemistry (BCHM),Units: 6.00
BCHM*422,Advanced Biochem Lab II,Biochemistry (BCHM),Units: 6.00
BCHM*431,Biochem Regulatory Mechanisms,Biochemistry (BCHM),Units: 3.00
BCHM*432,The Molecular Basis of Cellular Function,Biochemistry (BCHM),Units: 3.00
BCHM*433,Biochemistry Of The Cell,Biochemistry (BCHM),Units: 3.00
BCHM*441,Current Topics in Biochemistry,Biochemistry (BCHM),Units: 3.00
BCHM*442,Seminars in Biochemistry,Biochemistry (BCHM),Units: 3.00
BCHM*482,Proteomics and Metabolomics,Biochemistry (BCHM),Units: 3.00
BCHM*594,Independent Study,Biochemistry (BCHM),Units: 3.00
BCHM*595,Independent Study,Biochemistry (BCHM),Units: 6.00
BCHM*596,Independent Study,Biochemistry (BCHM),Units: 12.00
BIOM*300,Modeling Techniques in Biology,Biological Mathematics (BIOM),Units: 3.00
BIOL*102,Fundamentals of Biology: Molecular and Cell Biology,Biology (BIOL),Units: 3.00
BIOL*103,Fundamentals of Biology: Organisms to Ecosystems,Biology (BIOL),Units: 3.00
BIOL*110,Human Genetics and Evolution,Biology (BIOL),Units: 3.00
BIOL*111,Ecology and the Environment,Biology (BIOL),Units: 3.00
BIOL*200,Diversity Of Life,Biology (BIOL),Units: 3.00
BIOL*205,Mendelian and Molecular Genetics,Biology (BIOL),Units: 3.00
BIOL*206,Evolutionary Genetics,Biology (BIOL),Units: 3.00
BIOL*212,Scientific Methods in Biology,Biology (BIOL),Units: 3.00
BIOL*243,Introduction to Statistics,Biology (BIOL),Units: 3.00
BIOL*300,Ecology,Biology (BIOL),Units: 3.00
BIOL*307,Field Biology I,Biology (BIOL),Units: 3.00
BIOL*308,Field Studies in Biology I,Biology (BIOL),Units: 1.50
BIOL*315,Plants and Human Culture,Biology (BIOL),Units: 3.00
BIOL*316,Fisheries Biology,Biology (BIOL),Units: 3.00
BIOL*317,Field Biology II,Biology (BIOL),Units: 3.00
BIOL*319,Introduction to Ethnobotany,Biology (BIOL),Units: 3.00
BIOL*321,Animal Behaviour,Biology (BIOL),Units: 3.00
BIOL*322,Environmental Physiology of Animals,Biology (BIOL),Units: 3.00
